fawn	dun.n.02	fawn.n.02	
coagulation	curdling.n.01	
casquetel	casquet.n.01	
shouter	roarer.n.01	
tinamou	tinamou.n.01	
Asteraceae	compositae.n.01	
hoy	barge.n.01	
Platalea	platalea.n.01	
genus_Cedrus	cedrus.n.01	
Avogadro's_number	avogadro's_number.n.01	
photocathode	photocathode.n.01	
protectorship	protectorship.n.01	
arbitrariness	flightiness.n.01	
credential	certificate.n.01	
genus_Pholis	pholis.n.01	
vena_intervertebralis	intervertebral_vein.n.01	
Cucurbita_maxima_turbaniformis	turban_squash.n.01	
fennel_flower	fennel_flower.n.01	
irritant	irritant.n.01	
three_year_old	three-year-old_horse.n.01	
living_death	living_death.n.01	
handling_cost	handling_cost.n.01	
oxybenzene	carbolic_acid.n.01	
Falconidae	falconidae.n.01	
John_Singleton_Copley	copley.n.01	
lally_column	lally.n.01	
subphylum	subphylum.n.01	
full_blood	full_blood.n.01	
apadana	apadana.n.01	
saturnalia	orgy.n.03	saturnalia.n.01	
genus_Thyrsopteris	genus_thyrsopteris.n.01	
bumper_jack	bumper_jack.n.01	
ramus	ramus.n.01	
coffee_can	coffee_can.n.01	
south_side	south_side.n.01	
racing_car	racer.n.02	
family_Bittacidae	bittacidae.n.01	
Orchestia	orchestia.n.01	
covered_stand	grandstand.n.02	
genus_Comatula	comatula.n.01	
scorpion_fish	scorpionfish.n.01	
investigation	investigation.n.02	probe.n.01	
evening_star	evening_star.n.01	
object-oriented_programming	object-oriented_programming.n.01	
Brachychiton_populneus	kurrajong.n.01	
cocoa_powder	cocoa_powder.n.01	
demoralization	demoralization.n.03	demoralization.n.02	demoralization.n.01	
desktop_publishing	desktop_publishing.n.01	
athanor	athanor.n.01	
liquid_crystal_display	liquid_crystal_display.n.01	
foregrounding	foreground_processing.n.01	
bumph	bumf.n.01	
florest's_cineraria	florest's_cineraria.n.01	
sweet_almond	almond.n.01	
reshuffle	reshuffle.n.02	reshuffle.n.01	
Montgomery's_tubercle	montgomery's_tubercle.n.01	
emulation	emulation.n.01	emulation.n.02	emulation.n.03	
oarsmanship	oarsmanship.n.01	
lecherousness	lecherousness.n.01	
genus_Tineola	tineola.n.01	
Carnot	carnot.n.01	
Hipsurus_caryi	rainbow_seaperch.n.01	
patronage	clientele.n.01	condescension.n.02	trade.n.03	backing.n.01	patronage.n.04	
holy_thistle	milk_thistle.n.02	
councilwoman	councilwoman.n.01	
cytostome	cytostome.n.01	
lycopene	lycopene.n.01	
beech_fern	beech_fern.n.01	
waste_pipe	drain.n.03	
Athapascan	athapaskan.n.01	athapaskan.n.02	
Hyoscyamus	hyoscyamus.n.01	
footwear	footwear.n.01	footwear.n.02	
Kay_Boyle	boyle.n.01	
Tomistoma	tomistoma.n.01	
network_programming	network_programming.n.01	
descending_node	descending_node.n.01	
capital_of_Somalia	mogadishu.n.01	
silent_movie	silent_movie.n.01	
Nyssaceae	nyssaceae.n.01	
rudderstock	rudderpost.n.01	
impalpability	intangibility.n.01	
Himantoglossum_hircinum	lizard_orchid.n.01	
arithmetic_mean	arithmetic_mean.n.01	
Mimidae	mimidae.n.01	
desynchronization	asynchronism.n.01	
401-k_plan	401-k_plan.n.01	
Robert_Walpole	walpole.n.02	
scolder	scold.n.01	
Tanguy	tanguy.n.01	
open	open.n.03	open.n.01	open.n.04	outdoors.n.01	
cruise_missile	cruise_missile.n.01	
chlorosis	chlorosis.n.01	
Alessandro_Farnese	paul_iii.n.01	
monazite	monazite.n.01	
funeral_parlor	funeral_home.n.01	
boulevard	avenue.n.02	
wrath	wrath.n.01	wrath.n.02	
convent	convent.n.01	convent.n.02	
Paolo_Veronese	veronese.n.01	
tendentiousness	tendentiousness.n.01	
Felidae	felidae.n.01	
genus_Othonna	genus_othonna.n.01	
Chordeiles	chordeiles.n.01	
family_Actinidiaceae	actinidiaceae.n.01	
shiver	tremble.n.01	frisson.n.01	
brevity	brevity.n.02	brevity.n.01	
Entomophthora	entomophthora.n.01	
streetlight	streetlight.n.01	
uke	uke.n.01	
gold_braid	braid.n.02	
H.P.	horsepower.n.01	
bolivia	bolivia.n.02	bolivia.n.01	
machine-displayable_text	machine-displayable_text.n.01	
transgene	transgene.n.01	
James_Edmund_Scripps	scripps.n.02	
mefenamic_acid	mefenamic_acid.n.01	
thorax	thorax.n.01	thorax.n.03	thorax.n.02	
re-introduction	re-introduction.n.01	
illusionist	visionary.n.02	magician.n.01	
clover-root	herb_bennet.n.01	
background_radiation	background_radiation.n.01	
phobic_neurosis	phobia.n.01	
hyperplasia	hyperplasia.n.01	
iceberg	crisphead_lettuce.n.01	iceberg.n.01	
genus_Sabbatia	genus_sabbatia.n.01	
add-in	circuit_board.n.01	
folly	folly.n.03	stupidity.n.02	folly.n.01	folly.n.04	
horizontal_stabiliser	horizontal_stabilizer.n.01	
typography	typography.n.01	typography.n.02	
thyroid-stimulating_hormone	thyrotropin.n.01	
nude_dancing	nude_dancing.n.01	
fluid_drachm	fluidram.n.02	fluidram.n.01	
Rudra	rudra.n.01	
tensimeter	tensimeter.n.01	
tetra	tetra.n.01	
genus_Anabrus	anabrus.n.01	
Lena_Horne	horne.n.02	
Cavia_porcellus	aperea.n.01	
caudal_anaesthesia	caudal_anesthesia.n.01	
dilleniid_dicot_genus	dilleniid_dicot_genus.n.01	
swan_orchid	swan_orchid.n.01	
Sir_Robert_Eric_Mortimer_Wheeler	wheeler.n.01	
sporangium	sporangium.n.01	
argument	controversy.n.01	argument.n.04	argument.n.05	argument.n.06	argument.n.01	argumentation.n.02	argument.n.03	
Harold_Nicolson	nicolson.n.01	
cross_wire	cross_hair.n.01	
coonskin_cap	coonskin_cap.n.01	
mesquite	mesquite.n.01	
nogging	nogging.n.01	
horsepower	horsepower.n.01	
ventricular_aneurysm	ventricular_aneurysm.n.01	
Buckingham_Palace	buckingham_palace.n.01	
Idaho	idaho.n.01	
B_lymphocyte	b_cell.n.01	
tree_swift	tree_swift.n.01	
Lorraine_cross	lorraine_cross.n.01	
coronary_insufficiency	coronary_insufficiency.n.01	
Rehnquist	rehnquist.n.01	
petit_jury	petit_jury.n.01	
Jessica_Tandy	tandy.n.01	
Eck	eck.n.01	
Herbert_Kitchener	kitchener.n.01	
corkwood_tree	corkwood.n.01	
focal_point	focus.n.01	focus.n.04	focus.n.06	
Cecropia	cecropia.n.02	cecropia.n.01	
lordosis	lordosis.n.01	
Chinese_goose	chinese_goose.n.01	
Dracaena_draco	dragon_tree.n.01	
brain_wave	brainwave.n.01	
endomorphy	endomorphy.n.01	
assembly_language	assembly_language.n.01	
torpidness	listlessness.n.02	
to-do	disturbance.n.03	
November_11	veterans_day.n.01	
acetaldol	acetaldol.n.01	
genus_Cochlearius	cochlearius.n.01	
squelch_circuit	squelch_circuit.n.01	
arcsecond	second.n.06	
genus_Astroloma	astroloma.n.01	
wealthy_person	rich_person.n.01	
giant_clam	giant_clam.n.01	
Prescott	prescott.n.01	
Gilbert_Keith_Chesterton	chesterton.n.01	
selenology	selenology.n.01	
lawn	lawn.n.01	
ibn_Talal_Hussein	hussein.n.02	
scandalousness	scandalousness.n.01	
thalidomide	thalidomide.n.01	
object-oriented_programming_language	object-oriented_programming_language.n.01	
average	average.n.01	average.n.03	average.n.02	
trotter	trotter.n.01	trotting_horse.n.01	
low-carbon_steel	mild_steel.n.01	
denotation	reference.n.06	indication.n.02	
frog_kick	frog_kick.n.01	
Plymouth_Rock	plymouth_rock.n.02	plymouth_rock.n.01	
Chlorococcales	chlorococcales.n.01	
dolor	dolor.n.01	
temporality	temporalty.n.01	
cat_fancier	cat_fancier.n.01	
railroad_line	railway.n.01	
Legionella_pneumophilia	legionella_pneumophilia.n.01	
opportunist	opportunist.n.01	
New_York_State	new_york.n.02	
genus_Epilachna	epilachna.n.01	
calamary	squid.n.01	
merit	deservingness.n.01	merit.n.01	
sillabub	syllabub.n.02	syllabub.n.01	
opportunism	opportunism.n.01	
price-to-earnings_ratio	price-to-earnings_ratio.n.01	
fore_plane	fore_plane.n.01	
order_Cypriniformes	cypriniformes.n.01	
erythrocytolysin	hemolysin.n.01	
scale_insect	scale_insect.n.01	
Baltimore_oriole	baltimore_oriole.n.01	
lion's-ear	lion's-ear.n.01	
Hyphantria	hyphantria.n.01	
parsimony	parsimony.n.01	meanness.n.02	
calamari	squid.n.01	
background_signal	background.n.04	
babbler	babbler.n.02	chatterer.n.01	
Katsina	katsina.n.01	
solar_eclipse	solar_eclipse.n.01	
Glossopsitta	glossopsitta.n.01	
Renoir	renoir.n.01	
Habakkuk	habakkuk.n.02	habakkuk.n.01	
Tadirida_femorosacca	pocketed_bat.n.01	
potassium_bromide	potassium_bromide.n.01	
Brewer's_mountain_heather	purple_heather.n.01	
dairying	dairying.n.01	
Asura	asura.n.01	
actin	actin.n.01	
genus_Syzygium	syzygium.n.01	
Lilium_auratum	mountain_lily.n.01	
British_monetary_unit	british_monetary_unit.n.01	
steriliser	autoclave.n.01	
landline	land_line.n.01	
lifeguard	lifeguard.n.01	
vagrancy	vagrancy.n.01	
psychiatrist	psychiatrist.n.01	
true_mahogany	true_mahogany.n.01	
assistant	assistant.n.01	
freezing	freeze.n.01	
moderatism	centrism.n.01	
active_voice	active_voice.n.01	
elk-wood	umbrella_tree.n.02	
bad_blood	animosity.n.01	
Hesiod	hesiod.n.01	
khimar	khimar.n.01	
apple_pie	apple_pie.n.01	
hypoadrenocorticism	addison's_disease.n.01	
American_Legion	american_legion.n.01	
desert_pea	desert_pea.n.01	
Ahmed_Salman_Rushdie	rushdie.n.01	
vena_femoralis	femoral_vein.n.01	
cochlea	cochlea.n.01	
priest	priest.n.02	priest.n.01	
potassium-argon_dating	potassium-argon_dating.n.01	
Soleirolia_soleirolii	baby's_tears.n.01	
Salonika	thessaloniki.n.01	
counselorship	counselorship.n.01	
Satureja_hortensis	summer_savory.n.01	
pennyworth	pennyworth.n.01	
horned_owl	horned_owl.n.01	
Den_Haag	the_hague.n.01	
golden_glow	golden_glow.n.01	
stone_drill	bore_bit.n.01	
first_language	mother_tongue.n.01	
Optez	optez.n.01	
alcohol_addiction	alcoholism.n.01	
chitlings	chitterlings.n.01	
quatrain	quatrain.n.01	
nostrum	nostrum.n.02	panacea.n.02	
codefendant	codefendant.n.01	
gooseneck_barnacle	goose_barnacle.n.01	
Joseph_Oliver	oliver.n.01	
fierceness	ferocity.n.01	
John_Mercer	mercer.n.02	
furnishing	furnishing.n.01	furnishing.n.02	furnishing.n.03	
balletomane	balletomane.n.01	
alkalosis	alkalosis.n.01	
rheumatoid_spondylitis	ankylosing_spondylitis.n.01	
Sadducee	sadducee.n.01	
panache	panache.n.02	dash.n.01	
Heinlein	heinlein.n.01	
uninitiate	uninitiate.n.01	
vertical	vertical.n.01	upright.n.01	
Amygdalus_communis_amara	bitter_almond.n.01	
cup_morel	disciotis_venosa.n.01	
news_bulletin	news_bulletin.n.01	
recitation	course_session.n.01	recitation.n.01	exercise.n.03	recitation.n.02	
concentrate	concentrate.n.02	concentrate.n.03	dressed_ore.n.01	
genus_Erechtites	genus_erechtites.n.01	
serialization	serialization.n.01	
computer_error	error.n.06	
Chalcidae	chalcididae.n.01	
flag_smut	flag_smut.n.01	
turnip-rooted_parsley	hamburg_parsley.n.01	
military_action	military_action.n.01	
vibrating_reed	reed.n.04	
monkey-wrench	monkey-wrench.n.01	
mane	mane.n.01	mane.n.02	
Ernestine_Schumann-Heink	schumann-heink.n.01	
subordinate_clause	subordinate_clause.n.01	
Saint_Martin's_summer	indian_summer.n.01	
ophiolatry	ophiolatry.n.01	
pyrogen	pyrogen.n.01	pyrogen.n.02	
British_Honduras	belize.n.01	
amygdalotomy	amygdalotomy.n.01	
FSB	federal_savings_bank.n.01	federal_security_bureau.n.01	
genus_Coleus	genus_coleus.n.01	
FSH	follicle-stimulating_hormone.n.01	
strategy	scheme.n.01	strategy.n.02	
adjudication	adjudication.n.01	
index_register	index_register.n.01	
sit-up	sit-up.n.01	
pahautea	pahautea.n.01	
yellowish_green	yellow_green.n.01	
vinegar_fly	vinegar_fly.n.01	
caring	lovingness.n.01	
coup_de_theatre	coup_de_theatre.n.01	coup_de_theatre.n.03	coup_de_theatre.n.02	
wood_stork	wood_ibis.n.01	wood_ibis.n.02	
actual_possession	actual_possession.n.01	
legal_blindness	legal_blindness.n.01	
philosophers'_wool	zinc_oxide.n.01	
equidistribution	equidistribution.n.01	
brainwashing	brainwashing.n.01	
jacking_off	jacking_off.n.01	
lenticel	lenticel.n.01	
sewage_disposal	sewage_disposal.n.01	
Brachychiton_australis	flame_tree.n.03	
periodic_table	periodic_table.n.01	
Ernst_Werner_von_Siemens	siemens.n.03	
osteoclast	osteoclast.n.01	
excreting	elimination.n.02	
luff	luff.n.01	luff.n.02	
hilarity	hilarity.n.01	
precipitousness	abruptness.n.02	abruptness.n.03	
gist	effect.n.04	kernel.n.03	
free_hand	free_hand.n.01	
centerpiece	centerpiece.n.02	centerpiece.n.01	
Gasteromycetes	gasteromycetes.n.01	gasteromycete.n.01	
Leucaena_leucocephala	lead_tree.n.01	
carvedilol	carvedilol.n.01	
jet_lag	jet_lag.n.01	
ecclesiastical_calendar	church_calendar.n.01	
monarch_butterfly	monarch.n.02	
B.Th.U.	british_thermal_unit.n.01	
conception	creation.n.03	concept.n.01	conception.n.02	invention.n.01	
non-issue	dead_letter.n.01	
polls	polls.n.01	pate.n.02	poll.n.01	poll.n.04	poll.n.05	poll.n.03	
espresso_maker	espresso_maker.n.01	
thorniness	prickliness.n.01	bitterness.n.02	
Wyeth	wyeth.n.01	
genus_Pseudotaxus	pseudotaxus.n.01	
spotlight	limelight.n.01	spotlight.n.02	
aluminium	aluminum.n.01	
iva	marsh_elder.n.01	
pinko	pinko.n.01	
semiautomatic_pistol	semiautomatic_pistol.n.01	
greave	greave.n.01	
pinky	little_finger.n.01	
genus_Weigela	genus_weigela.n.01	
Alhazen	alhazen.n.01	
genus_Calamintha	calamintha.n.01	
bust-up_takeover	bust-up_takeover.n.01	
Papaver_somniferum	opium_poppy.n.01	
mannikin	manikin.n.01	mannequin.n.01	mannequin.n.02	
gammopathy	gammopathy.n.01	
ivy	ivy.n.01	
table_salt	salt.n.02	
binary	binary.n.02	binary_star.n.01	
miter_mushroom	helvella_crispa.n.01	
Ulfilas	ulfilas.n.01	
Oenanthe	oenanthe.n.02	oenanthe.n.01	
African_American	african-american.n.01	
lambert	lambert.n.02	lambert.n.01	
Versailles	versailles.n.01	versailles.n.02	
brown_snail	brown_snail.n.01	
micromillimetre	nanometer.n.01	
second_class	cabin_class.n.01	second_class.n.01	second_class.n.02	
Giovanni_Battista_Cibo	innocent_viii.n.01	
ringside_seat	ringside.n.01	
John_Paul_II	john_paul_ii.n.01	
polar_circle	polar_circle.n.01	
barbel	barbel.n.01	
self-fulfillment	self-fulfillment.n.01	
Thomas_Mann	mann.n.02	
ratafia	ratafia.n.01	ratafia.n.02	
ethologist	ethologist.n.01	
barbet	barbet.n.01	
sign_of_the_cross	sign_of_the_cross.n.01	
barber	barber.n.02	barber.n.01	
extern	extern.n.01	
exteriorization	externalization.n.02	
hydroxychloroquine	hydroxychloroquine.n.01	
lust_for_learning	desire_to_know.n.01	
brown_rice	brown_rice.n.01	
booster	booster.n.06	booster.n.04	booster.n.05	booster.n.03	promoter.n.01	supporter.n.01	
mohawk	mohawk.n.01	mohawk.n.02	mohawk.n.03	
Auriga	auriga.n.01	
ladies'_man	seducer.n.02	
Euonymus	euonymus.n.01	
clobber	stuff.n.03	
family_Phylloxeridae	phylloxeridae.n.01	
staunchness	steadfastness.n.01	
order_Raptores	raptores.n.01	
sense_experience	sensation.n.01	
Anisotremus_surinamensis	pompon.n.02	
Milwaukee	milwaukee.n.01	
group_Pteridospermaphyta	pteridospermae.n.01	
muon	muon.n.01	
Mentha	mentha.n.01	
white_squire	white_squire.n.01	
family_Dracunculidae	dracunculidae.n.01	
territorial_reserve	territorial.n.02	
musculus_abductor_hallucis	musculus_abductor_hallucis.n.01	
identity_crisis	identity_crisis.n.01	
china_clay	china_clay.n.01	
big-eared_bat	big-eared_bat.n.01	
madness	rabies.n.01	folly.n.03	madness.n.05	fury.n.01	lunacy.n.01	
Gloria_May_Josephine_Svensson	swanson.n.01	
clotting_factor	coagulation_factor.n.01	
fact_mood	indicative_mood.n.01	
sulky	sulky.n.01	
transalpine	transalpine.n.01	
presumption	given.n.01	presumption.n.04	presumption.n.02	presumption.n.03	
cilantro	coriander.n.03	coriander.n.01	
car_battery	car_battery.n.01	
genus_Millettia	genus_millettia.n.01	
pleomorphic_rhabdosarcoma	pleomorphic_rhabdomyosarcoma.n.01	
General_Charles_de_Gaulle	de_gaulle.n.01	
Bermuda_lily	easter_lily.n.01	
nephrotoxin	nephrotoxin.n.01	
Macrodactylus_subspinosus	rose_chafer.n.02	
common_broom	common_broom.n.01	
Nyctaginia_capitata	scarlet_musk_flower.n.01	
genus_Polystichum	polystichum.n.01	
starving	starvation.n.02	
prearrangement	prearrangement.n.01	
Acer_circinatum	vine_maple.n.01	
Bahasa_Indonesia	indonesian.n.02	
hydrogen_carbonate	bicarbonate.n.01	
venture_capital	venture_capital.n.01	
Papaver_californicum	western_poppy.n.01	
natural_object	natural_object.n.01	
knobble	knobble.n.01	
palatine_tonsil	tonsil.n.01	
plugger	promoter.n.01	
Baltic	baltic.n.01	baltic.n.02	
breakage	breakage.n.01	breakage.n.03	breakage.n.02	
long-chain_molecule	long_chain.n.01	
finish_line	finishing_line.n.01	
impedimenta	obstruction.n.01	impedimenta.n.02	
tropicbird	tropic_bird.n.01	
field_of_study	discipline.n.01	
cantle	cantle.n.01	
electric_healing	electrotherapy.n.01	
salesroom	showroom.n.01	
rigmarole	rigmarole.n.01	rigmarole.n.02	
allocution	allocution.n.01	
Java_man	java_man.n.01	
Galium_verum	yellow_bedstraw.n.01	
genus_Pogonia	genus_pogonia.n.01	
nonce_word	nonce_word.n.01	
eye_operation	eye_operation.n.01	
kennel	kennel.n.01	
genus_Pelecanus	pelecanus.n.01	
therapeutic_abortion	therapeutic_abortion.n.01	
superior_thyroid_vein	superior_thyroid_vein.n.01	
Robinson_Crusoe	robinson_crusoe.n.01	
perchloric_acid	perchloric_acid.n.01	
Lubavitch	lubavitch.n.02	lubavitch.n.01	
Colutea	colutea.n.01	
Saint_Edward_the_Confessor	edward_the_confessor.n.01	
feeling_of_movement	kinesthesia.n.01	
lobster	lobster.n.02	lobster.n.01	
kola	daba.n.01	kola.n.01	
Spergularia_rubra	sand_spurry.n.01	
trente-et-quarante	rouge_et_noir.n.01	
Leon_Trotsky	trotsky.n.01	
Benjamin_Franklin_Norris_Jr.	norris.n.01	
orchestral_bells	glockenspiel.n.01	
Bloomeria_crocea	golden_star.n.01	
vale	valley.n.01	
toponymy	toponymy.n.01	toponymy.n.02	
diesel_engine	diesel.n.02	
corrosive	corrosive.n.01	
U.S._Congress	congress.n.01	
Circassian_walnut	english_walnut.n.01	
Cilioflagellata	dinoflagellata.n.01	
Callimorpha	callimorpha.n.01	
vacillation	swing.n.04	hesitation.n.01	
Massachusetts_Bay_Colony	massachusetts.n.03	
zest	nip.n.05	gusto.n.01	
internship	internship.n.01	
swagger_stick	swagger_stick.n.01	
volume_unit	volume_unit.n.01	
pluralist	pluralist.n.02	pluralist.n.03	pluralist.n.01	
dark_chocolate	bittersweet_chocolate.n.01	
moving_staircase	escalator.n.02	
radial_symmetry	radial_symmetry.n.01	
pluralism	pluralism.n.01	pluralism.n.03	pluralism.n.02	
cubic_meter	kiloliter.n.01	
modern_jazz	modern_jazz.n.01	
family_Termitidae	termitidae.n.01	
skeet_shooting	skeet.n.01	
Arthropoda	arthropoda.n.01	
adhesive_plaster	plaster.n.05	
strategic_intelligence	strategic_intelligence.n.01	
stained-glass_window	stained-glass_window.n.01	
swamp_dewberry	swamp_dewberry.n.01	
legerdemain	magic_trick.n.01	
killing_field	killing_field.n.01	
Mozambique	mozambique.n.01	
Principality_of_Liechtenstein	liechtenstein.n.01	
hedge_violet	hedge_violet.n.01	
bronchodilator	bronchodilator.n.01	
Scophthalmus	scophthalmus.n.01	
Cupressus_goveniana_pigmaea	pygmy_cypress.n.01	
Scopolia	scopolia.n.01	
stroking	stroke.n.05	
Superior	lake_superior.n.01	superscript.n.01	superior.n.01	superior.n.02	superior.n.05	victor.n.01	
kniphofia	kniphofia.n.01	
Bermuda_maidenhair_fern	bermuda_maidenhair.n.01	
baby's_breath	baby's_breath.n.01	
Master_of_Laws	master_of_laws.n.01	
homeless	homeless.n.01	homeless.n.02	
haematite	hematite.n.01	
Lanthanotus	lanthanotus.n.01	
parcelling	allotment.n.02	
goliath	giant.n.05	goliath.n.01	
wayfarer	wayfarer.n.01	wayfarer.n.02	
Mahayanist	mahayanist.n.01	
Department_of_Energy	department_of_energy.n.01	
wood_fern	wood_fern.n.01	
langouste	spiny_lobster.n.01	spiny_lobster.n.02	
Walt_Whitman	whitman.n.01	
hex	hex.n.01	
Iliad	iliad.n.01	
polyphony	polyphony.n.01	
Battle_of_Granicus_River	granicus.n.01	
business_deduction	business_deduction.n.01	
Pteretis	matteuccia.n.01	
diagnostic_procedure	diagnostic_procedure.n.01	
Ulva	ulva.n.01	
Mombasa	mombasa.n.01	
genus_Phragmipedium	phragmipedium.n.01	
Mahayanism	mahayanism.n.01	
hem	hem.n.01	hem.n.02	
hen	hen.n.04	hen.n.01	hen.n.03	hen.n.02	
cryobiology	cryobiology.n.01	
folk_tale	folktale.n.01	
Volvaria	volvaria.n.01	
Luyia	luyia.n.01	
Chalons-sur-Marne	chalons.n.01	
mutterer	mutterer.n.01	
Coreopsis_tinctoria	calliopsis.n.01	
lag_screw	lag_screw.n.01	
tow_truck	tow_truck.n.01	
tuber_root	butterfly_weed.n.01	
snowy_egret	snowy_egret.n.01	
epidural	epidural_anesthesia.n.01	
curtain_ring	curtain_ring.n.01	
gurney	gurney.n.01	
sign_manual	sign_manual.n.01	
order_Araneida	araneae.n.01	
Piscidia_erythrina	jamaica_dogwood.n.01	
jet_bridge	jet_bridge.n.01	
toy_poodle	toy_poodle.n.01	
Ommiad	umayyad.n.01	
Electrophoridae	electrophoridae.n.01	
costume_designer	costumier.n.01	
Perilla_frutescens_crispa	beefsteak_plant.n.01	
hydraulic_engineering	hydraulic_engineering.n.01	
phonation	voice.n.02	
peony_family	paeoniaceae.n.01	
DPT_vaccine	dpt_vaccine.n.01	
genus_Ctenocephalus	ctenocephalus.n.01	
countermarch	countermarch.n.01	
genus_Eugenia	eugenia.n.01	
cone_clutch	cone_clutch.n.01	
jackhammer	air_hammer.n.01	
varus	varus.n.01	
heather_mixture	heather_mixture.n.01	
Arabian_coffee	arabian_coffee.n.01	
Giovanni_Maria_Mastai-Ferretti	pius_ix.n.01	
fond_regard	attachment.n.01	
daikon	radish.n.02	
family_Phthiriidae	phthiriidae.n.01	
princess_feather	prince's-feather.n.01	
Thursday	thursday.n.01	
Thomas_More	more.n.01	
spaghettini	spaghettini.n.01	
Todea_barbara	crepe_fern.n.01	
midwife	midwife.n.01	
strychnine	strychnine.n.01	
Cryptogramma	cryptogramma.n.01	
Urim_and_Thummim	urim_and_thummim.n.01	
living_accommodations	housing.n.01	
allocator	allocator.n.01	
genus_Taenia	genus_taenia.n.01	
computer_monitor	computer_monitor.n.01	
family_Chloranthaceae	chloranthaceae.n.01	
whir	whir.n.01	
nutcracker	nutcracker.n.01	nuthatch.n.01	nutcracker.n.03	
morning_star	morning_star.n.01	
monilia	monilia.n.01	
penile_implant	penile_implant.n.01	
Nagari_script	devanagari.n.01	
Lathyrus_latifolius	broad-leaved_everlasting_pea.n.01	
backgammon	backgammon.n.01	
phenol	phenol.n.01	carbolic_acid.n.01	
blood_relative	blood_relation.n.01	
curlicue	squiggle.n.01	coil.n.02	
solar_year	solar_year.n.01	
Utrillo	utrillo.n.01	
genus_Chrysemys	chrysemys.n.01	
hospitalisation	hospitalization.n.04	
genus_Ceratosaurus	genus_ceratosaurus.n.01	
moneron	moneran.n.01	
wordbook	wordbook.n.01	
tax_advantage	tax_advantage.n.01	
Adam_Smith	smith.n.08	
type_I_allergic_reaction	immediate_allergy.n.01	
sense_of_purpose	purposefulness.n.01	
snitch	fink.n.01	
common_grape_hyacinth	common_grape_hyacinth.n.01	
gill_net	gill_net.n.01	
pleuropneumonia	pleuropneumonia.n.01	
rostrum	snout.n.03	dais.n.01	
sebaceous_gland	sebaceous_gland.n.01	
radioactive_iodine_excretion_test	radioactive_iodine_excretion_test.n.01	
titivation	titivation.n.01	
Marguerite_Radclyffe_Hall	hall.n.06	
Ottumwa	ottumwa.n.01	
Indian_tick_fever	marseilles_fever.n.01	
mask	mask.n.02	mask.n.01	masquerade.n.01	mask.n.04	
clowning	buffoonery.n.01	drollery.n.01	
mash	mash.n.02	mash.n.01	
habergeon	habergeon.n.01	
Mithras	mithras.n.01	
mass	mass.n.09	mass.n.08	mass.n.03	mass.n.01	mass.n.05	mass.n.04	batch.n.02	multitude.n.03	bulk.n.02	
Hexanchidae	hexanchidae.n.01	
sin	sine.n.01	sin.n.01	sin.n.02	sin.n.04	sin.n.05	sin.n.06	
dislodgment	dislodgment.n.01	
Linosyris_vulgaris	goldilocks.n.01	
ketoacidosis-resistant_diabetes	type_ii_diabetes.n.01	
Scyphozoa	scyphozoa.n.01	scyphozoan.n.01	
birdcage	birdcage.n.01	
minicab	minicab.n.01	
occupational_hazard	occupational_hazard.n.01	
papilloma	papilloma.n.01	
Baccharis_viminea	mule_fat.n.01	
Ananas_comosus	pineapple.n.01	
orthophosphorous_acid	hypophosphorous_acid.n.01	
minicar	minicar.n.01	
Boer_War	boer_war.n.01	
EST	eastern_time.n.01	
Capreolus	capreolus.n.01	
tritoma	kniphofia.n.01	
Araujia_sericofera	cruel_plant.n.01	
blood_donor	blood_donor.n.01	
Artie_Shaw	shaw.n.01	
yellow_hawkweed	king_devil.n.01	
Falstaff	falstaff.n.01	
chewing	chew.n.02	
durative	durative.n.01	
chewink	chewink.n.01	
cervicitis	cervicitis.n.01	
cue_ball	cue_ball.n.01	
homepage	home_page.n.01	
degeneration	degeneracy.n.01	degeneration.n.03	degeneration.n.01	
Flagstaff	flagstaff.n.01	flagpole.n.02	
slack_water	slack_water.n.02	slack.n.03	
oblique_triangle	oblique_triangle.n.01	
ornithomimid	ornithomimid.n.01	
Limenitis	limenitis.n.01	
jalapeno_pepper	jalapeno.n.02	
eyrie	aerie.n.02	aerie.n.01	
detention	detention.n.01	detention.n.02	
iamb	iamb.n.01	
moor_berry	bog_bilberry.n.01	
freebee	freebie.n.01	
Stockton	stockton.n.01	
diary	diary.n.02	diary.n.01	
cosmotron	cosmotron.n.01	
Aram_Khachaturian	khachaturian.n.01	
vegetable_oyster	oyster_plant.n.03	salsify.n.02	
Paget's_disease	paget's_disease.n.01	
scup	porgy.n.01	scup.n.04	scup.n.01	scup.n.03	
echolocation	echolocation.n.01	
platform_rocker	platform_rocker.n.01	
titanium	titanium.n.01	
thoracotomy	thoracotomy.n.01	
Machiavellianism	machiavellianism.n.01	
essential_oil	essential_oil.n.01	
Bombina_bombina	fire-bellied_toad.n.01	
man's_clothing	man's_clothing.n.01	
indolebutyric_acid	indolebutyric_acid.n.01	
dodger	corn_dab.n.01	dodger.n.01	
Devonshire_cream	clotted_cream.n.01	
pigskin	pigskin.n.01	
speech_community	speech_community.n.01	
Prociphilus	prociphilus.n.01	
gun_enclosure	gun_enclosure.n.01	
sal_soda	sodium_carbonate.n.01	
hundred-percenter	chauvinist.n.02	
Trafalgar_Square	trafalgar_square.n.01	
Holocanthus_tricolor	rock_beauty.n.01	
mayoralty	mayoralty.n.01	
terra_cotta	terra_cotta.n.01	
overcasting	overcast.n.03	
scud	scud.n.01	
American_sweet_gum	sweet_gum.n.03	
