fawn	dun.n.02	fawn.n.02	
mariposa_tulip	mariposa.n.01	
Queen's_English	king's_english.n.01	
long_hundred	long_hundred.n.01	
celery_seed	celery_seed.n.01	
contagious_disease	contagious_disease.n.01	
Ficus	ficus.n.01	
subgenus	subgenus.n.01	
salad_plate	salad_plate.n.01	
wand	scepter.n.02	baton.n.01	wand.n.01	wand.n.02	
wane	ebb.n.01	
wank	jacking_off.n.01	
Codiaeum	codiaeum.n.01	
fluorite	fluorite.n.01	
disparagement	disparagement.n.02	disparagement.n.01	
Ornithogalum_thyrsoides	chincherinchee.n.01	
Acacia_xanthophloea	fever_tree.n.04	
daily_round	round.n.06	
want	wish.n.01	lack.n.01	need.n.02	privation.n.01	
azurite	azurite.n.01	
Sir_James_Paul_McCartney	mccartney.n.01	
Cynoglossidae	cynoglossidae.n.01	
rayon	rayon.n.01	
cliff_swallow	cliff_swallow.n.01	
cocksucker	asshole.n.01	cocksucker.n.01	
genus_Setaria	setaria.n.01	
power_drill	power_drill.n.01	
talipes_valgus	talipes_valgus.n.01	
travel	change_of_location.n.01	travel.n.01	locomotion.n.02	
Zweig	zweig.n.01	
ethmoidal_vein	ethmoidal_vein.n.01	
Daniel_Webster	webster.n.02	
Testacea	testacea.n.01	
krait	krait.n.01	
flick-knife	switchblade.n.01	
Atlantic_white_cedar	southern_white_cedar.n.01	
Skeat	skeat.n.01	
mecopteran	mecopteran.n.01	
brassard	brassard.n.01	
Sanskritic_language	sanskrit.n.01	
Wichita_Falls	wichita_falls.n.01	
wheatear	wheatear.n.01	
uselessness	inutility.n.01	
hydrogen_fluoride	hydrogen_fluoride.n.01	
butcher_paper	butcher_paper.n.01	
middle-aged_man	middle-aged_man.n.01	
genus_Elaphe	elaphe.n.01	
mouflon	mouflon.n.01	
Hieracium_aurantiacum	orange_hawkweed.n.01	
wrong	wrong.n.01	wrong.n.02	
Londoner	londoner.n.01	
wristlet	wristlet.n.01	
relay_station	booster.n.04	
virago	amazon.n.01	virago.n.01	
Selaginella_eremophila	desert_selaginella.n.01	
Chinese_parasol_tree	chinese_parasol_tree.n.01	
Eburophyton_austinae	phantom_orchid.n.01	
Sofia_Scicolone	loren.n.01	
CFO	chief_financial_officer.n.01	
Easter_lily	easter_lily.n.01	
War_of_American_Independence	american_revolution.n.01	
recombination	recombination.n.01	recombination.n.02	
caisson	caisson.n.02	caisson.n.03	coffer.n.01	caisson.n.04	
CFC	chlorofluorocarbon.n.01	
xerox_copy	xerox.n.01	
kiloton	kiloton.n.01	kiloton.n.02	
Clark_Gable	gable.n.02	
reef_knot	reef_knot.n.01	
hypoglossal_nerve	hypoglossal.n.01	
Asio	asio.n.01	
Pisonia_aculeata	cockspur.n.02	
sweat_duct	sweat_duct.n.01	
schematic_drawing	schematic.n.01	
concurrence	concurrence.n.04	concurrence.n.01	concurrence.n.03	concurrence.n.02	
knee_piece	knee_piece.n.01	
sawing_machine	power_saw.n.01	
the_Street	wall_street.n.02	
midiron	midiron.n.01	
concurrency	concurrence.n.01	concurrence.n.02	
Egyptian_onion	tree_onion.n.01	
Robertson	robertson.n.01	
dressing_sacque	dressing_sack.n.01	
activating	energizing.n.01	
welcomer	greeter.n.01	
playhouse	playhouse.n.01	
fir	fir.n.02	fir.n.01	
Landowska	landowska.n.01	
hierarchical_menu	hierarchical_menu.n.01	
representative_sampling	stratified_sampling.n.01	
coffee_blight	coffee_blight.n.01	
fit	fit.n.01	paroxysm.n.01	fit.n.03	burst.n.03	
lifeline	lifeline.n.04	line_of_life.n.01	lifeline.n.03	lifeline.n.02	
raggedness	raggedness.n.02	roughness.n.01	
gridiron	football_field.n.01	grid.n.05	
saddle_horse	saddle_horse.n.01	
suborder_Reptantia	reptantia.n.01	
fib	fib.n.01	
Walesa	walesa.n.01	
fig	figure.n.01	fig.n.02	fig.n.04	libyan_islamic_fighting_group.n.01	
booking_clerk	ticket_agent.n.01	
subfamily_Garrulinae	garrulinae.n.01	
fin	five.n.01	fin.n.06	fin.n.05	louver.n.01	flipper.n.01	tail_fin.n.02	
classic_hemochromatosis	classic_hemochromatosis.n.01	
Purace	purace.n.01	
cataloged_procedure	cataloged_procedure.n.01	
white_wolf	white_wolf.n.01	
paterfamilias	patriarch.n.02	
songwriter	songwriter.n.01	
gerbille	gerbil.n.01	
photocell	photoelectric_cell.n.01	
Culvers_physic	culver's_root.n.01	
effects	effect.n.05	effect.n.06	effect.n.04	effects.n.01	impression.n.02	consequence.n.01	effect.n.03	
defense_mechanism	defense_mechanism.n.01	
genus_Scincus	scincus.n.01	
white_horehound	common_horehound.n.01	
Schreiber's_aster	schreiber's_aster.n.01	
