72	keep the balance of one's body		가누다
72	control		가누다
72	keep under control		가누다
72	handle		가누다
72	hold up		가누다
72	very thin		가느다랗다
72	rather slender		가느스름하다
72	be hard of hearing		가는귀먹다
72	be a little deaf		가는귀먹다
72	become somewhat hard of hearing		가는귀먹다
72	thin		가늘다
72	fine		가늘다
72	slender		가늘다
72	slim		가늘다
72	narrow		가늘다
72	fine		가늘다
72	close		가늘다
72	delicate		가늘다
72	fine		가늘다
72	small		가늘다
72	weak		가늘다
72	faint		가늘다
72	small		가늘다
72	aim		가늠
72	sight		가늠
72	judgement		가늠
72	discernment		가늠
72	estimation		가늠
72	sense of proportion		가늠
72	the bead		가늠쇠
72	the front sight		가늠쇠
72	the foresight		가늠쇠
72	the backsight		가늠자
72	possibility		가능
72	possibility		가능성
72	likelihood		가능성
72	chance		가능성
72	go		가다
72	proceed		가다
72	travel		가다
72	frequent		가다
72	attend		가다
72	lead to		가다
72	leave for		가다
72	come		가다
72	be out		가다
72	go out		가다
72	die		가다
72	pass away		가다
72	depart this life		가다
72	pass		가다
72	elapse		가다
72	go by		가다
72	roll on		가다
72	spoil		가다
72	wear		가다
72	last long		가다
72	keep		가다
72	hold		가다
72	endure		가다
72	be durable		가다
72	live out		가다
72	survive		가다
72	get creased		가다
72	be wrinkled		가다
72	be cracked		가다
72	be required		가다
72	cost		가다
72	be worth		가다
72	sometimes		가다가
72	occasionally		가다가
72	at times		가다가
72	now and then		가다가
72	brushwood		가다귀
72	oak-brush firewood		가다귀
72	brace oneself		가다듬다
72	calm oneself		가다듬다
72	keep cool		가다듬다
72	put  in order		가다듬다
72	set in good order		가다듬다
72	tidy up		가다듬다
72	a bonito		가다랭이
72	a shipjack		가다랭이
72	tilling a rice field at piecework		가다리
72	a piece		가닥
72	a strip		가닥
72	a strand		가닥
72	a fork		가닥
72	malleability		가단성
72	A minor		가단조
72	siding with		가담
72	participation		가담
72	conspiracy		가담
72	support		가담
72	help		가담
72	just		가당
72	right		가당
72	proper		가당
72	fair		가당
72	appropriate		가당
72	adequate		가당
72	fit		가당
72	be able to cope with		가당
72	be equal to		가당
72	unjust		가당찮다
72	unfair		가당찮다
72	unreasonable		가당찮다
72	undue		가당찮다
72	excessive		가당찮다
72	outrageous		가당찮다
72	awful		가당찮다
72	unbearable		가당찮다
72	a holder		가대
72	a stand		가대
72	a frame		가대
72	a  tag		가댁질
72	a highway		가도
72	a highroad		가도
72	a road		가도
72	a thoroughfare		가도
72	family customs		가도
72	family traditions		가도
72	livelihood		가도
72	my son		가돈
72	he		가돈
72	operation		가동
72	work		가동
72	dandle		가동거리다
72	a movable joint		가동관절
72	a movable bridge		가동교
72	manpower		가동력
72	the rate of operation		가동률
72	the working ratio		가동률
72	a street		가두
72	a man-in-the-street interview		가두 녹음
72	shut in		가두다
72	lock in		가두다
72	coop in		가두다
72	pen up		가두다
72	bottle up		가두다
72	confine		가두다
72	trap		가두다
72	a brim		가두리
72	a rim		가두리
72	a hem		가두리
72	a frill		가두리
72	street fund raising		가두 모금
72	a collection of subscriptions in the street		가두 모금
72	street propaganda		가두 선전
72	a wayside speech		가두 연설
72	soapbox oratory		가두 연설
72	street peddling		가두 판매
72	sway one's hips		가둥거리다
72	behave flippantly and rudely		가드락거리다
72	strut		가드락거리다
72	a guardrail		가드레일
72	full		가득
72	to capacity		가득
72	filled		가득
72	earnings		가득
72	all filled		가득가득
72	each one filled		가득가득
72	all filled		가뜩가뜩
72	each one filled		가뜩가뜩
72	full		가득하다
72	be filled to the brim		가득하다
72	be chock-full		가득하다
72	be full up		가득하다
72	light		가든하다
